Problema,OG,M3GP,OTDD,MD_train_m3gp,MD_train_og,% ERROR train,MD_test_m3gp,MD_test_og,% ERROR test,num rasgos m3gp,num rasgos OG,dif rasgos,nodos,Variance,PCA
Vowel,Vowel_2,Vowel_2,5.3934,100,95.9596,100,92.9293,49.1583,86.0927,18,13,5,79,1,13
Vowel,Vowel_3,Vowel_3,5.6216,100,97.114,100,93.9394,50.8418,87.6712,18,13,5,125,1,13
Vowel,Vowel_4,Vowel_4,5.4253,100,96.2482,100,94.2761,51.1785,88.2759,19,13,6,84,1,13
Vowel,Vowel_5,Vowel_5,5.3741,100,96.2482,100,96.633,46.4647,93.7107,18,13,5,83,1,13
Vowel,Vowel_6,Vowel_6,5.4862,100,96.2482,100,94.2761,48.4849,88.8889,17,13,4,52,1,13
Vowel,Vowel_7,Vowel_7,5.4758,100,97.9798,100,93.6027,52.862,86.4286,16,13,3,69,1,13
Vowel,Vowel_8,Vowel_8,5.4196,100,97.8355,100,96.633,54.8822,92.5373,17,13,4,86,1,13
Vowel,Vowel_9,Vowel_9,5.3361,100,96.9697,100,95.2862,50.8418,90.411,17,13,4,98,1,13
Vowel,Vowel_10,Vowel_10,5.394,100,97.114,100,94.6128,48.8216,89.4737,18,13,5,69,1,13
Vowel,Vowel_11,Vowel_11,5.6114,100,96.5368,100,92.5926,51.1785,84.8276,20,13,7,81,1,13
Vowel,Vowel_12,Vowel_12,5.4171,100,96.5368,100,93.266,53.5354,85.5073,17,13,4,56,1,13
Vowel,Vowel_13,Vowel_13,5.7885,100,96.5368,100,93.6027,52.1886,86.6197,17,13,4,62,1,13
Vowel,Vowel_14,Vowel_14,5.4603,100,97.114,100,93.6027,51.8519,86.7133,19,13,6,102,1,13
Vowel,Vowel_15,Vowel_15,5.5912,100,96.3925,100,92.5926,48.4849,85.6209,18,13,5,57,1,13
Vowel,Vowel_16,Vowel_16,5.203,100,96.5368,100,92.2559,51.5152,84.0278,17,13,4,114,1,13
Vowel,Vowel_17,Vowel_17,5.4884,100,97.4026,100,91.9192,51.5152,83.3333,17,13,4,36,1,13
Vowel,Vowel_18,Vowel_18,5.4243,100,96.6811,100,92.9293,48.8216,86.1842,17,13,4,74,1,13
Vowel,Vowel_19,Vowel_19,5.2729,100,96.8254,100,94.9495,49.495,90,18,13,5,57,1,13
Vowel,Vowel_20,Vowel_20,5.594,100,97.114,100,95.2862,46.8014,91.1392,17,13,4,104,1,13
Vowel,Vowel_21,Vowel_21,5.7802,100,95.9596,100,92.5926,49.495,85.3333,18,13,5,67,1,13
Vowel,Vowel_22,Vowel_22,5.5051,100,97.4026,100,91.9192,50.8418,83.5616,20,13,7,67,1,13
Vowel,Vowel_23,Vowel_23,5.6007,100,96.9697,100,95.2862,52.862,90,18,13,5,69,1,13
Vowel,Vowel_24,Vowel_24,5.3585,100,96.5368,100,96.9697,52.1886,93.662,18,13,5,113,1,13
Vowel,Vowel_25,Vowel_25,5.4646,100,97.114,100,94.6128,52.1886,88.7324,18,13,5,67,1,13
Vowel,Vowel_26,Vowel_26,5.4699,100,97.2583,100,95.2862,51.1785,90.3448,17,13,4,110,1,13
Vowel,Vowel_27,Vowel_27,5.5287,100,97.4026,100,94.2761,52.862,87.8571,17,13,4,142,1,13
Vowel,Vowel_28,Vowel_28,5.463,100,96.2482,100,91.5825,49.8317,83.2215,18,13,5,97,1,13
Vowel,Vowel_29,Vowel_29,5.7054,100,96.8254,100,97.3064,53.5354,94.2029,18,13,5,65,1,13
Vowel,Vowel_30,Vowel_30,5.2456,100,96.6811,100,91.9192,45.7913,85.0932,16,13,3,65,1,13
Wav,Wav_1,Wav_1,13.0152,90.4857,90.5143,-0.3012,85.3333,77.8667,33.7349,30,40,-10,41,0.8756,30
Wav,Wav_2,Wav_2,15.75,90.6286,90.6857,-0.6135,84.7333,81.7333,16.4234,34,40,-6,53,0.9268,34
Wav,Wav_3,Wav_3,17.8023,90.7143,90.4857,2.4024,84.8,75.6667,37.5343,37,40,-3,86,0.9637,37
Wav,Wav_4,Wav_4,12.9744,90.6857,90.4286,2.6866,84.3333,77.2,31.2866,30,40,-10,41,0.8747,30
Wav,Wav_5,Wav_5,14.2971,90.8,90.9714,-1.8987,84.9333,78.8667,28.7066,32,40,-8,123,0.9007,32
Wav,Wav_6,Wav_6,16.3049,90.9714,90.9714,0,82.3333,78.1333,19.2073,35,40,-5,54,0.9396,35
Wav,Wav_7,Wav_7,13.7702,90.8571,90.9143,-0.6289,84.4,76.4667,33.7111,31,40,-9,102,0.8881,31
Wav,Wav_8,Wav_8,13.7952,89.3714,89.8571,-4.7887,84.8667,78.0667,31.003,31,40,-9,52,0.8885,31
